221130;3801;2730;99999;;;2;0000;;;-;24;MOVEON-siirto;;;;
221130;5526;0000;99999;;;2;2730;;;+;24;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;0001;;;-;12;MOVEON-siirto;;;;
221130;5526;0001;99999;;;1;2730;;;+;12;MOVEON-siirto;;;;
221130;3801;2730;99999;;;2;0002;;;-;24;MOVEON-siirto;;;;
221130;5526;0002;99999;;;2;2730;;;+;24;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;0003;;;-;12;MOVEON-siirto;;;;
221130;5526;0003;99999;;;1;2730;;;+;12;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;4311;;;-;234;MOVEON-siirto;;;;
221130;5526;4311;99999;;;1;2730;;;+;234;MOVEON-siirto;;;;
221130;3801;2730;99999;;;3;4314;;;-;702;MOVEON-siirto;;;;
221130;5526;4314;99999;;;3;2730;;;+;702;MOVEON-siirto;;;;
221130;3801;2730;99999;;;5;2311;;;-;60;MOVEON-siirto;;;;
221130;5526;2311;99999;;;5;2730;;;+;60;MOVEON-siirto;;;;
221130;3801;2730;99999;;;9;6250;;;-;2107;MOVEON-siirto;;;;
221130;5526;6250;99999;;;9;2730;;;+;2107;MOVEON-siirto;;;;
221130;3801;2730;99999;;;12;6521;;;-;2809;MOVEON-siirto;;;;
221130;5526;6521;99999;;;12;2730;;;+;2809;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;6522;;;-;234;MOVEON-siirto;;;;
221130;5526;6522;99999;;;1;2730;;;+;234;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;6524;;;-;234;MOVEON-siirto;;;;
221130;5526;6524;99999;;;1;2730;;;+;234;MOVEON-siirto;;;;
221130;3801;2730;99999;;;4;6410;;;-;936;MOVEON-siirto;;;;
221130;5526;6410;99999;;;4;2730;;;+;936;MOVEON-siirto;;;;
221130;3801;2730;99999;;;16;6410;;;-;3745;MOVEON-siirto;;;;
221130;5526;6410;99999;;;16;2730;;;+;3745;MOVEON-siirto;;;;
221130;3801;2730;99999;;;6;6511;;;-;1404;MOVEON-siirto;;;;
221130;5526;6511;99999;;;6;2730;;;+;1404;MOVEON-siirto;;;;
221130;3801;2730;99999;;;2;6512;;;-;468;MOVEON-siirto;;;;
221130;5526;6512;99999;;;2;2730;;;+;468;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;6531;;;-;234;MOVEON-siirto;;;;
221130;5526;6531;99999;;;1;2730;;;+;234;MOVEON-siirto;;;;
221130;3801;2730;99999;;;2;6532;;;-;468;MOVEON-siirto;;;;
221130;5526;6532;99999;;;2;2730;;;+;468;MOVEON-siirto;;;;
221130;3801;2730;99999;;;9;6533;;;-;2107;MOVEON-siirto;;;;
221130;5526;6533;99999;;;9;2730;;;+;2107;MOVEON-siirto;;;;
221130;3801;2730;99999;;;8;6534;;;-;1873;MOVEON-siirto;;;;
221130;5526;6534;99999;;;8;2730;;;+;1873;MOVEON-siirto;;;;
221130;3801;2730;99999;;;2;6551;;;-;468;MOVEON-siirto;;;;
221130;5526;6551;99999;;;2;2730;;;+;468;MOVEON-siirto;;;;
221130;3801;2730;99999;;;1;6554;;;-;234;MOVEON-siirto;;;;
